Published_date,Bid_closing_date,Tender_opening_date,Title,Organisation,Value
07-Sep-2023 10:30 AM,18-Sep-2023 03:00 PM,19-Sep-2023 03:00 PM,[BOT Spares] [100001026][2023_APCPL_162898_2],Aravali Power Company Pvt. Ltd - IGSTPP||Contract and Materials - APCPL,NA
07-Sep-2023 10:00 AM,15-Sep-2023 03:00 PM,16-Sep-2023 03:30 PM,"[Surveying and Demarcating DOT Land at QA Bhawan, EP and GP Block, Sector V, Bidhannagare, Salt Lake 700091] [03/WB/CD-KOL/NIQ/BSNL/23-24][2023_BSNL_166971_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||West Bengal Telecom Circle||CE (Civil),NA
07-Sep-2023 10:00 AM,10-Oct-2023 03:00 PM,11-Oct-2023 03:00 PM,"[Development of Facilities for Demonstration of Modern Farming Practices at Duhai Depot, Ghaziabad, Uttar Pradesh. ] [DM/MS/COR-OF/226][2023_NCRTC_166769_1]",National Capital Region Transport Corporation||GGM-Strategic Planning - NCRTC,NA
07-Sep-2023 10:00 AM,14-Sep-2023 10:00 AM,15-Sep-2023 01:00 PM,[EEE/SZ/2023-24/Nit.35] [MCD/TR/5344/2023_6_1_1/1][2023_MCD_166877_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,"36,89,243"
07-Sep-2023 09:00 AM,18-Sep-2023 11:30 AM,19-Sep-2023 11:30 AM,"[Civil Works, Erection, Testing Commissioning of one (01) no. of 50 MVA, Ms. BHEL make, 132_34.5 KV transformer along with other associated works at Gola substation of DVC.] [DVC/Tender/HQR/CE TSC/CMM/00005/Capital Dt06/09/20][2023_DVC_166933_1]",Damodar Valley Corporation||Maithon - DVC||C and M,"58,44,571"
07-Sep-2023 09:00 AM,14-Sep-2023 09:00 AM,14-Sep-2023 09:30 AM,"[P/F precast RCC benches at various location in Ward No. 02, Bankner, M-I, Narela Zone] [MCD/TR/6193/2023_5_1_1/1][2023_MCD_166894_1]",Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,"4,66,324"
07-Sep-2023 09:00 AM,14-Sep-2023 09:00 AM,14-Sep-2023 09:30 AM,[Providing and Placing RCC Benches at various locations in ward no. 3-N (Holambi Kalan) in AC-01 in Narela Zone.] [MCD/TR/5033/2023_5_1_1/1][2023_MCD_166905_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,"17,64,438"
07-Sep-2023 09:00 AM,18-Sep-2023 05:00 PM,19-Sep-2023 05:00 PM,"[Construction of New Terminal Building, Second Link Taxi Track, Apron Expansion, and associated works at Prayagraj Airport- On Design and Build Basis. SH Construction of Prefabricated Office Building at Prayagraj Airport.] [AAI/PRJ/2023/Prefab][2023_AAI_166840_1]",Airports Authority of India||Northern Region - AAI||ALLAHABAD - AAI||ENGG CIVIL-ALLAHABAD - AAI,"1,13,93,000"
07-Sep-2023 09:00 AM,13-Sep-2023 03:00 PM,14-Sep-2023 03:00 PM,"[Day to day civil repairing, refurbishing, renovation and maintenance work at CSIR Staff Quarters and CSIR Guest House, Kolkata.] [GCW/MC/02/23-24(W)][2023_CSIR_166709_1]",Council of Scientific and Industrial Research||CGCRI-Kolkatta - CSIR||ESD- CGCRI - CSIR,"56,53,610"
07-Sep-2023 09:00 AM,14-Sep-2023 09:00 AM,14-Sep-2023 09:30 AM,[Providing and Placing RCC Benches at various locations in ward no. 3-N (Holambi Kalan) in AC-01 in Narela Zone.] [MCD/TR/5033/2023_5_1_1/1][2023_MCD_166905_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,"17,64,438"
07-Sep-2023 09:00 AM,14-Sep-2023 09:00 AM,14-Sep-2023 09:30 AM,"[P/F precast RCC benches at various location in Ward No. 02, Bankner, M-I, Narela Zone] [MCD/TR/6193/2023_5_1_1/1][2023_MCD_166894_1]",Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,"4,66,324"
07-Sep-2023 09:00 AM,16-Sep-2023 03:00 PM,18-Sep-2023 04:00 PM,[COLDAISLE containment for 4G Core Eqpt.] [37/BEDH-II/2023-24][2023_BSNL_166946_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Telengana Telecom Circle- Hyderabad||CE Electrical,"10,44,890"
07-Sep-2023 09:00 AM,12-Sep-2023 11:00 AM,13-Sep-2023 11:30 AM,[Engagement of user fee collection agency at Khaniwade fee plaza at Km. 467.220 at NH-48 Six laning of Surat- Dahisar section of NH-8 in the State of Gujarat and Maharashtra] [NHAI/13013/547/CO/ 23-24/EQ/Khaniwade FP][2023_NHAI_166962_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI,"2,26,37,00,000"
07-Sep-2023 09:00 AM,14-Sep-2023 11:30 AM,14-Sep-2023 12:00 PM,[supply of spare parts for knap sack pumps] [9.4/MW/AUTO/CLZ/2023-24/TC][2023_MCD_166958_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,"3,56,950"
07-Sep-2023 09:00 AM,20-Sep-2023 11:00 AM,21-Sep-2023 11:30 AM,[Engagement of user fee collection agency on the basis of competitive bidding through e-tender for Mirzapur Fee Plaza at km 14.600 on NH-752C for Pachore-Shujalpur Section from km 2.700 to km 33.000 in the State of Madhya Pradesh] [NHAI/13013/547/CO/ 23-24/CB/Mirzapur FP][2023_NHAI_166963_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI,"1,66,00,000"
07-Sep-2023 09:00 AM,19-Sep-2023 11:00 AM,20-Sep-2023 11:30 AM,[Engagement of user fee collection agency on the basis of competitive bidding through e-tender on Dhoki Fee Plaza at km 178.100 for End of Ane Ghat to Start of Ahmednagar Section of NH-222 of two Lane section in the State of Maharashtra] [NHAI/13013/547/CO/ 23-24/CB/Dhoki FP][2023_NHAI_166964_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI,"6,97,00,000"
07-Sep-2023 09:00 AM,19-Sep-2023 11:00 AM,20-Sep-2023 11:30 AM,[Engagement of user fee collection agency on the basis of competitive bidding through e-tender on Kot-Karor Kalan fee plaza at km 205.000 Harike-Zira-Faridkot Section of NH-15 in the state of Punjab] [NHAI/13013/547/CO/ 23-24/CB/Kot-Karor Kalan FP][2023_NHAI_166965_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI,"17,23,00,000"
07-Sep-2023 09:00 AM,14-Sep-2023 11:30 AM,14-Sep-2023 12:00 PM,[supply of spare parts for knap sack pumps] [9.4/MW/AUTO/CLZ/2023-24/TC][2023_MCD_166958_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,"3,56,950"
07-Sep-2023 09:00 AM,19-Sep-2023 11:00 AM,20-Sep-2023 11:30 AM,[Engagement of user fee agency on the basis of CB through e_tender at Chachadgaon FP at design Km 32.450 for the use of two lane with paved shoulder of Nashik Peth section of from design Km 11.600 to 65.115 of NH 848 in Maharashtra ] [NHAI/13013/547/CO/23-24 /CB/ Chachadgaon FP][2023_NHAI_166959_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI,"21,86,00,000"
07-Sep-2023 09:00 AM,16-Sep-2023 03:00 PM,18-Sep-2023 04:00 PM,[COLDAISLE containment for 4G Core Eqpt.] [37/BEDH-II/2023-24][2023_BSNL_166946_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Telengana Telecom Circle- Hyderabad||CE Electrical,"10,44,890"
07-Sep-2023 09:00 AM,18-Sep-2023 06:00 PM,20-Sep-2023 11:00 AM,[Holistic Development of Surat Airport Including Extension of Terminal Building Apron and Construction of Parallel Taxi Track] [AAI/SRT/AGM(E-E)/eNIT-01/2023][2023_AAI_157621_1],Airports Authority of India||Western Region - AAI||RAJKOT - AAI||ENGG ELECT-VARK - AAI,"76,23,823"
07-Sep-2023 09:00 AM,18-Sep-2023 11:30 AM,19-Sep-2023 11:30 AM,"[Civil Works, Erection, Testing Commissioning of one (01) no. of 50 MVA, Ms. BHEL make, 132_34.5 KV transformer along with other associated works at Gola substation of DVC.] [DVC/Tender/HQR/CE TSC/CMM/00005/Capital Dt06/09/20][2023_DVC_166933_1]",Damodar Valley Corporation||Maithon - DVC||C and M,"58,44,571"
07-Sep-2023 09:00 AM,27-Sep-2023 06:00 PM,29-Sep-2023 11:00 AM,[Clearance of grass and jungle in operational area and Residential Colonies at Begumpet Airport including shyamlal area during the year 2023-24.] [AAI/HYD/ENGG(C)/GAR/2023-24][2023_AAI_166850_1],Airports Authority of India||Southern Region - AAI||HYDERABAD - AAI||ENGG CIVIL-VOHY - AAI,"32,52,200"
07-Sep-2023 09:00 AM,14-Sep-2023 09:00 AM,14-Sep-2023 09:30 AM,[Providing and Placing RCC Benches at various locations in ward no. 3-N (Holambi Kalan) in AC-01 in Narela Zone.] [MCD/TR/5033/2023_5_1_1/1][2023_MCD_166905_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,"17,64,438"
06-Sep-2023 06:55 PM,19-Sep-2023 11:00 AM,20-Sep-2023 11:30 AM,[Engagement of user fee collection agency on the basis of CB through e-tender at Keezhkuppam FP at km 97.500 for the section from Manavalanullur to Chinnasalem (km 57.800 to km 110.942) of NH 532 in Tamil Nadu.] [NHAI/13013/547/ CO/23-24/ CB/Keezhkuppam FP][2023_NHAI_166955_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI,"8,60,00,000"
06-Sep-2023 06:55 PM,13-Sep-2023 11:00 AM,14-Sep-2023 11:30 AM,[Engagement of user fee agency through EQ at IDTL A and IDTL B FP for Six laning of Indore- Dewas section of NH-3 from Km 577.550 to Km 610.000 and 0.000 to Km 12.60 (Approx. length 45.05km) in the State of Madhya Pradesh ] [NHAI/CO/23-24/EQ/IDTL A and IDTL B FP][2023_NHAI_166954_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI,"1,28,21,00,000"
06-Sep-2023 06:55 PM,19-Sep-2023 02:00 PM,20-Sep-2023 02:30 PM,"[Electrical work for Helium, Nitrogen plant and AC high voltage lab plant at NPL campus.] [04/0262/2023 WS][2023_CSIR_166886_1]",Council of Scientific and Industrial Research||NPL New Delhi - CSIR||ESD-NPL - CSIR,"21,94,117"
06-Sep-2023 06:55 PM,09-Oct-2023 11:00 AM,10-Oct-2023 11:30 AM,[IE Const of 4Laning of Satai ghat to Chowka sec NH34 from Ch.89.875 to Ch.145.000 PKG3 and 4Laning of Chowka to Kaimaha MP/UP Border sec NH34 from Ch.145.000 to Ch.197.266 excluding existing Chhatarpur bypass from Ch160.307 to Ch.168.630 Pkg4 HAM] [NHAI/HQ/MP/Sagar Kabrai/IE/PKG 3n4/2023][2023_NHAI_166949_1],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,0.00
06-Sep-2023 06:55 PM,19-Sep-2023 11:00 AM,20-Sep-2023 11:30 AM,[Engagement of user fee collection agency on the basis of CB through e-tender at Keezhkuppam FP at km 97.500 for the section from Manavalanullur to Chinnasalem (km 57.800 to km 110.942) of NH 532 in Tamil Nadu.] [NHAI/13013/547/ CO/23-24/ CB/Keezhkuppam FP][2023_NHAI_166955_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI,"8,60,00,000"
06-Sep-2023 06:55 PM,16-Sep-2023 02:00 PM,16-Sep-2023 02:30 PM,[EOI Document for Integrated Automated Recruitment Process from start to end using Blockchain Technology which includes custom software development/maintenance] [TCIL/78/IT1/2023-24/AIIMS][2023_TCIL_166948_1],Telecommunications Consultants India Limited||Corporate Office - TCIL Bhawan||E-Gov Division - TCIL,NA
06-Sep-2023 06:55 PM,19-Sep-2023 02:00 PM,20-Sep-2023 02:30 PM,"[Electrical work for Helium, Nitrogen plant and AC high voltage lab plant at NPL campus.] [04/0262/2023 WS][2023_CSIR_166886_1]",Council of Scientific and Industrial Research||NPL New Delhi - CSIR||ESD-NPL - CSIR,"21,94,117"
06-Sep-2023 06:50 PM,14-Sep-2023 03:00 PM,14-Sep-2023 03:05 PM,[Nit No.11 Item No.6] [EE/M-II/NGZ/TC/2023-24/11][2023_MCD_166834_6],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,NA
06-Sep-2023 06:50 PM,14-Sep-2023 03:00 PM,14-Sep-2023 03:05 PM,[Nit No.11 Item No.2] [EE/M-II/NGZ/TC/2023-24/11][2023_MCD_166834_2],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,NA
06-Sep-2023 06:50 PM,14-Sep-2023 03:00 PM,14-Sep-2023 03:05 PM,[Nit No.11 Item No.8] [EE/M-II/NGZ/TC/2023-24/11][2023_MCD_166834_8],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,NA
06-Sep-2023 06:50 PM,14-Sep-2023 03:00 PM,14-Sep-2023 03:05 PM,[Nit No.11 Item No.9] [EE/M-II/NGZ/TC/2023-24/11][2023_MCD_166834_9],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,NA
06-Sep-2023 06:50 PM,14-Sep-2023 03:00 PM,14-Sep-2023 03:05 PM,[Nit No.11 Item No.5] [EE/M-II/NGZ/TC/2023-24/11][2023_MCD_166834_5],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,NA
06-Sep-2023 06:50 PM,14-Sep-2023 03:00 PM,14-Sep-2023 03:05 PM,[Nit No.11 Item No.7] [EE/M-II/NGZ/TC/2023-24/11][2023_MCD_166834_7],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,NA
06-Sep-2023 06:50 PM,14-Sep-2023 03:00 PM,14-Sep-2023 03:05 PM,[Nit No.11 Item No.4] [EE/M-II/NGZ/TC/2023-24/11][2023_MCD_166834_4],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,NA
06-Sep-2023 06:50 PM,14-Sep-2023 03:00 PM,14-Sep-2023 03:05 PM,[Nit No.11 Item No.3] [EE/M-II/NGZ/TC/2023-24/11][2023_MCD_166834_3],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,"3,94,578"
06-Sep-2023 06:50 PM,14-Sep-2023 03:00 PM,14-Sep-2023 03:05 PM,[Nit No.11 Item No.5] [EE/M-II/NGZ/TC/2023-24/11][2023_MCD_166834_5],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,NA
06-Sep-2023 06:50 PM,14-Sep-2023 03:00 PM,14-Sep-2023 03:05 PM,[Nit No.11 Item No.7] [EE/M-II/NGZ/TC/2023-24/11][2023_MCD_166834_7],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,NA
06-Sep-2023 06:50 PM,14-Sep-2023 11:30 AM,14-Sep-2023 12:00 PM,[Supply of batteries for vehicles] [9.3/MW/AUTO/CLZ/2023-24/TC][2023_MCD_166953_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,"2,64,538"
06-Sep-2023 06:50 PM,14-Sep-2023 03:00 PM,14-Sep-2023 03:05 PM,[Nit No.11 Item No.2] [EE/M-II/NGZ/TC/2023-24/11][2023_MCD_166834_2],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,NA
06-Sep-2023 06:40 PM,25-Sep-2023 03:00 PM,26-Sep-2023 03:30 PM,"[Tender for UG OFC Rehabilitation by Trenching, PLB Pipe Laying, 24F Cable Pulling and Other Allied Works in JANGAON Section of Warangal OA under 4G Backhaul for the year 2023-24.] [OFC Rehabilitation Works JANGAON Area 4G BACKHAUL][2023_BSNL_166950_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Telengana Telecom Circle- Hyderabad||GMTD Warangal,"45,02,524"
06-Sep-2023 06:35 PM,27-Sep-2023 06:00 PM,29-Sep-2023 03:00 PM,"[Establishment of Inflight Catering and Services on Design, Build, Finance, Operate, Maintain and Transfer (DBFOMT) basis at Ayodhya Airport.] [AAI/CHQ/BDU/IFCS/Ayodhya/2023][2023_AAI_166940_1]",Airports Authority of India||CHQ - AAI||NIAMAR - AAI,NA
06-Sep-2023 06:30 PM,14-Sep-2023 11:30 AM,14-Sep-2023 12:00 PM,[Engine overhauling of tipper truck] [9.2/MW/AUTO/CLZ/2023-24/TC][2023_MCD_166944_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,"2,16,418"
06-Sep-2023 06:30 PM,03-Oct-2023 03:00 PM,04-Oct-2023 04:00 PM,[Tender for external repair works in IREL Corporate Office] [IREL/CO/PT/19/2023][2023_IREL_166942_1],IREL (INDIA) Limited||Corporate Office Mumbai - IREL,"4,61,864"
06-Sep-2023 06:30 PM,18-Sep-2023 11:30 AM,19-Sep-2023 12:00 PM,[NIT 13 OF 23-24 ( Re-Tender)] [NIT 13 OF 23-24 (RE-TENDER)][2023_BSNL_166945_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Western Telecom Project||DGM, TP, GJA, Ahmedabad","43,67,025"
06-Sep-2023 06:20 PM,25-Sep-2023 03:00 PM,26-Sep-2023 03:30 PM,"[E-Tender for UG OFC Rehabilitation by Trenching, PLB Pipe Laying, 24F Cable Pulling and Other Allied Works in MAHABUBABAD and NARSAMPET Section of Warangal OA under 4G Backhaul for the Year 2023-24.] [OFC Rehabilitation Works in MBB,NRM 4G BACKHUL][2023_BSNL_166943_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Telengana Telecom Circle- Hyderabad||GMTD Warangal,"85,31,666"
06-Sep-2023 06:00 PM,26-Sep-2023 03:00 PM,27-Sep-2023 03:00 PM,[Tender for Repairing of Engine Alternator on Call Basis in Jabalpur BA] [W-24-856/ EA REPAIR WORK/ JBP/T-430/2023-24/][2023_BSNL_166869_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Madhya Pradesh Telecom Circle- Bhopal||O/o CGMT, MP Telecom Circle Bhopal","10,00,000"
06-Sep-2023 06:00 PM,13-Sep-2023 03:00 PM,13-Sep-2023 04:00 PM,"[Selection of Partner for Supply, installation, testing, commissioning and maintenance of and Integrated CCTV surveillance system (Q3)] [TCIL/ITSC/43/2023][2023_TCIL_166939_1]",Telecommunications Consultants India Limited||Corporate Office - TCIL Bhawan||MM Division - TCIL,NA
06-Sep-2023 06:00 PM,20-Sep-2023 06:00 PM,25-Sep-2023 11:00 AM,[T C for civil works at Bungalow area in OEF Estate Kanpur] [CW/TE/E-proc/05/OEF/EO/2023-24][2023_TCL_166530_1],TROOP COMFORTS LIMITED||Ordnance Equipment Factory - Kanpur UP,"15,00,000"
06-Sep-2023 06:00 PM,27-Sep-2023 06:00 PM,29-Sep-2023 11:00 AM,[License for Operation of Tea / Snack Bar (02 nos. - One in Security Hold Area(SHA) and city side)and Trolley Retrieval cum Advertisement Rights facility in clubbed manner at Bathinda Airport.] [Bathinda/Clubbed/Aug2023][2023_AAI_166028_1],Airports Authority of India||Northern Region - AAI||Bathinda-AAI||General-VIBT-AAI,"15,838"
06-Sep-2023 06:00 PM,13-Sep-2023 03:00 PM,13-Sep-2023 03:05 PM,[NIT No. 14-1] [EE(M-III)NGZ/MCD/2023-24/14][2023_SDMC_166907_1],South Delhi Municipal Corporation||Municipal Engineers Office - SDMC,"1,79,12,185"
06-Sep-2023 06:00 PM,26-Sep-2023 02:00 PM,27-Sep-2023 03:00 PM,[MECHANICAL AND ELECTRICAL WORKS FOR CONSTRUCTION OF CNG STATIONS AT BHUBANESHWAR AND CUTTACK GEOGRAPHICAL AREAS 2 YEARS ARC] [05/51/Q7NT/GAIL/001-iv-09][2023_GAIL_166479_1],GAIL (India) Limited||Project Management Consultant-PMC for GAIL India Ltd||MECON LIMITED-PMC,NA
06-Sep-2023 06:00 PM,30-Sep-2023 06:00 PM,03-Oct-2023 11:00 AM,"[Provision of Vitrified Tiles in AAI Quarters at B.M. Airport, Ranchi.] [AAI/RC/AGM(E-C)/Vitrified Tiles/2023-24][2023_AAI_166895_1]",Airports Authority of India||Eastern Region - AAI||RHQ-ER - AAI||ENGG CIVIL-ER - AAI,"65,78,800"
06-Sep-2023 06:00 PM,14-Sep-2023 06:00 PM,18-Sep-2023 03:30 PM,[Reconstruction of fallen compound wall at divisional store Gonda] [18/2023-24/BSNL/CD/GKP][2023_BSNL_166805_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||UP(EAST) Telecom Circle||Business Area Gorakhpur,"5,17,378"
06-Sep-2023 06:00 PM,13-Sep-2023 03:00 PM,13-Sep-2023 03:05 PM,[NIT No. 14-1] [EE(M-III)NGZ/MCD/2023-24/14][2023_SDMC_166907_1],South Delhi Municipal Corporation||Municipal Engineers Office - SDMC,"1,79,12,185"
06-Sep-2023 06:00 PM,14-Sep-2023 06:00 PM,18-Sep-2023 03:30 PM,[Provision of CGI sheet roofing and other miscellaneous Civil works in Divisional store at Vaidehinagar Faizabad AYODHYA] [20/2023-24/BSNL/CD/GKP][2023_BSNL_166896_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||UP(EAST) Telecom Circle||Business Area Gorakhpur,"2,13,716"
06-Sep-2023 06:00 PM,14-Sep-2023 06:00 PM,18-Sep-2023 03:30 PM,[Special repairs in Inspection quarters at Ayodhya Distt Ayodhya 3RD CALL RETENDER ] [19/2023-24/BSNL/CD/GKP][2023_BSNL_166884_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||UP(EAST) Telecom Circle||Business Area Gorakhpur,"8,72,346"
06-Sep-2023 06:00 PM,27-Sep-2023 04:30 PM,29-Sep-2023 10:00 AM,[Provision of LED display 65 inch with Audio and other accessories at CHD Call Stand in VPA ] [34/2023-24/IMEE /MOF/FOF/ET/F103][2023_VPT_166902_1],Visakhapatnam Port Trust||Mech. and Elec. Engineering - VPT||Electrical and Electronics - VPT,"3,36,000"
06-Sep-2023 06:00 PM,14-Sep-2023 01:00 PM,15-Sep-2023 03:00 PM,[AMC for Maintenance with Calibration of PM2.5 Samplers and RSPM / PM10 Sampllers] [PUR-147/AMC/HZC/2023-24][2023_CSIR_166848_1],Council of Scientific and Industrial Research||NEERI-Nagpur - CSIR||Purchase-NEERI - CSIR,NA
06-Sep-2023 06:00 PM,13-Sep-2023 03:00 PM,13-Sep-2023 04:00 PM,"[Selection of Partner for Supply, installation, testing, commissioning and maintenance of and Integrated CCTV surveillance system (Q3)] [TCIL/ITSC/43/2023][2023_TCIL_166939_1]",Telecommunications Consultants India Limited||Corporate Office - TCIL Bhawan||MM Division - TCIL,NA
06-Sep-2023 06:00 PM,28-Sep-2023 06:00 PM,29-Sep-2023 06:00 PM,[Deployment of Security Personnel through Rajya Sainik Board] [AAI/VOPB/CSO/PSA/2023][2023_AAI_166885_1],Airports Authority of India||Eastern Region - AAI||PORTBLAIR - AAI||TERMINAL MGMT-VOPB - AAI,"1,901"
06-Sep-2023 06:00 PM,26-Sep-2023 11:00 AM,27-Sep-2023 12:00 PM,[Operation and Maintenance of BSNL CSCs of Category I in business area of JAIPUR] [T-29/Cat-I/2023-24 ][2023_BSNL_166879_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Rajasthan Telecom Circle||PGMTD-Jaipur||JTO(IT),0.00
06-Sep-2023 06:00 PM,14-Sep-2023 06:00 PM,18-Sep-2023 03:30 PM,[Reconstruction of fallen compound wall at divisional store Gonda] [18/2023-24/BSNL/CD/GKP][2023_BSNL_166805_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||UP(EAST) Telecom Circle||Business Area Gorakhpur,"5,17,378"
06-Sep-2023 06:00 PM,11-Sep-2023 06:00 PM,13-Sep-2023 11:00 AM,[Supply of Jai Balaji make Limit Switches ] [JPL/CnM/23-24/1100011870 ][2023_JPL_164411_2],Jhabua Power Ltd,NA
06-Sep-2023 06:00 PM,27-Sep-2023 06:00 PM,28-Sep-2023 06:00 PM,[Construction of Terminal Building and associated works at Leh Airport. SH Construction of RCC boundary wall in newly acquired land and watch tower for IAF at KBR Airport Leh.] [AAI/LEH/ENGG-C/eNIT/B-wall][2023_AAI_166803_1],Airports Authority of India||Northern Region - AAI||LEH - AAI||ENGG ELECT-LEH - AAI,"1,84,30,000"
06-Sep-2023 06:00 PM,20-Sep-2023 06:00 PM,25-Sep-2023 11:00 AM,[T C for civil works at Bungalow area in OEF Estate Kanpur] [CW/TE/E-proc/05/OEF/EO/2023-24][2023_TCL_166530_1],TROOP COMFORTS LIMITED||Ordnance Equipment Factory - Kanpur UP,"15,00,000"
06-Sep-2023 06:00 PM,11-Sep-2023 06:00 PM,13-Sep-2023 11:00 AM,[Supply of Jai Balaji make Limit Switches ] [JPL/CnM/23-24/1100011870 ][2023_JPL_164411_2],Jhabua Power Ltd,NA
06-Sep-2023 06:00 PM,13-Sep-2023 01:00 PM,14-Sep-2023 01:30 PM,[EE(A)-II/SNZ/MCD/23-24/TC-14/1] [EE(A)-II/SNZ/MCD/23-24/TC-14/1][2023_MCD_166829_1],Municipal Corporation of Delhi||Engineering - MCD||Engineering Electric - MCD,"54,76,755"
06-Sep-2023 06:00 PM,27-Sep-2023 06:00 PM,29-Sep-2023 11:00 AM,[License for Operation of Tea / Snack Bar (02 nos. - One in Security Hold Area(SHA) and city side)and Trolley Retrieval cum Advertisement Rights facility in clubbed manner at Bathinda Airport.] [Bathinda/Clubbed/Aug2023][2023_AAI_166028_1],Airports Authority of India||Northern Region - AAI||Bathinda-AAI||General-VIBT-AAI,"15,838"
06-Sep-2023 05:30 PM,14-Sep-2023 09:00 AM,15-Sep-2023 09:15 AM,[Providing and fixing of Precast RCC Benches at different locations in ward no. 26 Pooth Kalan in Narela Zone.] [MCD/TR/6188/2023_5_1_1/1][2023_MCD_166858_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,"4,66,324"
06-Sep-2023 05:30 PM,14-Sep-2023 09:00 AM,15-Sep-2023 09:15 AM,[Providing and fixing of precast RCC benches at different locations in ward no. 33 Rani Khera in Narela Zone.] [MCD/TR/6194/2023_5_1_1/1][2023_MCD_166863_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,"4,66,324"
06-Sep-2023 05:30 PM,14-Sep-2023 09:00 AM,15-Sep-2023 09:15 AM,[Providing and fixing of Precast RCC Benches at different locations in ward no. 28 Shabad Dairy in Narela Zone.] [MCD/TR/6190/2023_5_1_1/1][2023_MCD_166865_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,"4,66,324"
06-Sep-2023 05:30 PM,14-Sep-2023 09:00 AM,15-Sep-2023 09:15 AM,"[P/F precast RCC benches at various location in Ward No. 35, Mundka, M-II, Narela Zone] [MCD/TR/6191/2023_5_1_1/1][2023_MCD_166859_1]",Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,"4,66,324"
06-Sep-2023 05:30 PM,12-Sep-2023 05:30 PM,13-Sep-2023 06:00 PM,[Coal Tranportation and Rail Coordination Works] [JPLCNMLT2324140000536][2023_JPL_166794_1],Jhabua Power Ltd,NA
06-Sep-2023 05:30 PM,14-Sep-2023 09:00 AM,15-Sep-2023 09:15 AM,[Providing and fixing of Precast RCC Benches at different locations in ward no. 28 Shabad Dairy in Narela Zone.] [MCD/TR/6190/2023_5_1_1/1][2023_MCD_166865_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,"4,66,324"
06-Sep-2023 05:30 PM,12-Sep-2023 04:00 PM,13-Sep-2023 04:30 PM,"[Architectural and Engineering Consultancy Services for The Extension of District Veterinary Hospital in The District of Nuapada, Odisha] [NPCC/SEZ/AC/VET-NUA/354][2023_NPCC_166915_1]",National Projects Construction Corporation Limited||South Eastern Zone (Bhubaneswar) - NPCC,NA
